name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_NS+LMXB,e_P_NS+LMXB,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J102412.4-574533,0.0001807228915662,0.0153012048192771,0.0229718875502008,0.0078614457831325,0.0741064257028112,0.8603915662650603,0.0013327984235084,0.0195478960441522,0.0183325838606138,0.0101716365679483,0.0637954072705833,0.0728414488633994,0.0191867469879517,0.019092493797518578,YSO,0.8603915662650603,0.0728414488633994,1.0,156.05187499999997,-57.759225,0.73,6.6,3.708603289937888e-15,0.18863615296738528,0.814,0.787,18.468502,14.9,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.8-574435,0.000933734939759,0.0858082329317269,0.3849949799196787,0.002078313253012,0.0071285140562249,0.3512299196787148,0.0037485845242841,0.0661540335373153,0.1412079082119964,0.0045938446435759,0.0095337301331673,0.1070284719945163,0.16782630522088351,0.08447609631380221,HM-STAR,0.3849949799196787,0.1412079082119964,0.0,156.016,-57.74307777777778,0.75,6.62,4.164660773728442e-15,0.33951849976010934,0.511,0.942,17.02532,,,3,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102401.8-574426,0.0023744979919678,0.006937751004016,0.0424799196787148,0.0428514056224899,0.0728514056224899,0.8012098393574297,0.0051028922973139,0.011419816179348,0.0304996020798422,0.0298960007750844,0.0637938105095531,0.0992214271293363,0.0312951807228914,0.03225572472229844,YSO,0.8012098393574297,0.0992214271293363,1.0,156.00754166666664,-57.74066388888889,0.72,8.8,8.373782905934208e-15,0.6065503644908401,0.997,0.534,18.503162,14.583,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.2-574440,0.0023092369477911,0.2666315261044176,0.0998443775100401,0.0023694779116465,0.0028865461847389,0.3319779116465863,0.0058617879362124,0.117189121599175,0.0539472185609822,0.0062452419781254,0.0062787973529868,0.1069527839940439,0.293980923694779,0.12415306946355298,YSO,0.3319779116465863,0.1069527839940439,0.0,156.0135,-57.7445,0.74,7.12,2.3452419353945226e-15,0.3093790504763263,1.0,0.449,19.351704,,,3,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102401.2-574423,1.004016064257028e-05,0.0206425702811244,0.7578915662650603,0.0087048192771084,0.0889056224899598,0.1073995983935743,0.0003168621252622,0.0284187770579139,0.1478719135034523,0.0129019969186912,0.0773629904409328,0.0769334696579284,0.016445783132530034,0.021303314395038093,HM-STAR,0.7578915662650603,0.1478719135034523,1.0,156.00520833333331,-57.73975833333333,0.73,6.82,1.3265895143257006e-15,0.28229074066803134,1.0,0.909,15.511888,12.625,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102400.1-574356,0.0263504016064257,0.0123493975903614,0.0055371485943775,0.0,0.0024698795180722,0.0089257028112449,0.049020134411566,0.026449960523544,0.0116906364413588,0.0,0.0094722072367119,0.012308860313576,0.944367469879518,0.32650647887462986,NS+LMXB,0.944367469879518,0.32650647887462986,1.0,156.00054166666666,-57.73237777777778,0.73,6.5,2.5845454492321238e-15,0.3210465222835597,0.999,0.752,,,,0,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102359.9-574421,0.0318574297188755,0.1156224899598393,0.0434487951807228,0.0034538152610441,0.028328313253012,0.2298795180722891,0.0250339218107393,0.0561290155638394,0.0274095751995047,0.0074022185661131,0.0243021524692662,0.0621182657263782,0.5474096385542169,0.11595166814593692,NS+LMXB,0.5474096385542169,0.11595166814593692,0.0,155.99979166666662,-57.73930833333333,0.73,7.41,1.1909891272133297e-15,0.3856970113113241,1.0,1.0,21.051693,,,4,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.8-574449,0.0042068273092369,0.1459086345381526,0.0538052208835341,0.0292068273092369,0.0356977911646586,0.5078865461847389,0.006609981303944,0.0677243354623138,0.0266727461990775,0.0193220106108168,0.0223874075144185,0.08400183163664,0.2232881526104416,0.065304428618639,YSO,0.5078865461847389,0.08400183163664,0.0,156.016125,-57.74716388888889,0.72,9.64,8.710585365813317e-15,0.5421523527405777,1.0,0.762,18.709164,14.711,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102402.0-574436,0.0005923694779116,0.0758383534136546,0.5231375502008032,0.0062951807228915,0.037078313253012,0.2903815261044177,0.0028267391601329,0.0558756243983827,0.1088432562346482,0.0079716341878938,0.0212462918210919,0.0938396741378175,0.0666767068273092,0.0333343930831922,HM-STAR,0.5231375502008032,0.1088432562346482,0.0,156.008375,-57.743341666666666,0.73,6.13,2.397225885481473e-15,0.08257727781165827,1.0,0.725,16.40057,12.318,,6,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.5-574444,0.0049799196787148,0.0456074297188755,0.0332781124497991,0.0343222891566265,0.0285240963855421,0.6828614457831326,0.007598571565945,0.0266676455958943,0.0193842904547361,0.0215135237397135,0.0207867957142769,0.063631278294602,0.1704267068273092,0.060529969372087225,YSO,0.6828614457831326,0.063631278294602,1.0,156.01466666666664,-57.74568333333333,0.74,7.27,5.2375243862985786e-15,0.6165801395929439,0.963,0.893,19.633837,13.231,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102402.4-574436,0.0001706827309236,0.1064056224899598,0.2041214859437751,0.126074297188755,0.1178062248995984,0.3966315261044177,0.0012959092714934,0.0615064823034187,0.0850267844302816,0.0669969661205252,0.0601023549184166,0.1248264071810487,0.0487901606425702,0.040486622370692484,YSO,0.3966315261044177,0.1248264071810487,0.0,156.010125,-57.74337222222222,0.71,45.88,2.0442665942847933e-13,0.39480510384625667,0.966,0.967,12.207134,9.488,,8,extent|conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.4-574502,0.009437751004016,0.0250100401606425,0.0353614457831325,0.134789156626506,0.169789156626506,0.5700100401606426,0.011460447190721,0.0251647815558203,0.0272448396205191,0.0558574614792517,0.1075043798237916,0.1080872990721013,0.0556024096385542,0.03929720791016601,YSO,0.5700100401606426,0.1080872990721013,0.0,156.01424999999998,-57.75063055555555,0.73,6.36,4.822883449741925e-15,0.7336365658021061,0.737,0.347,20.275232,16.02,,6,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.0-574444,0.0342720883534136,0.0068273092369477,0.0265210843373493,0.0,0.0068724899598393,0.0232128514056224,0.041994822174927,0.0169205740541022,0.0312932403513498,0.0,0.0255036268230726,0.0216915071610202,0.9022941767068273,0.2784328932831699,NS+LMXB,0.9022941767068273,0.2784328932831699,1.0,156.01279166666666,-57.74556944444444,0.82,7.49,1.399088602018717e-15,0.06981824017898493,1.0,0.048,,,,0,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102403.8-574459,0.0115813253012048,0.0722941767068273,0.0538403614457831,0.0102158634538152,0.0160291164658634,0.3604718875502007,0.0166981602408091,0.033366893082738,0.0270061526112884,0.0107403615483079,0.0138538732723278,0.0583308723248874,0.4755672690763052,0.12029316848235415,NS+LMXB,0.4755672690763052,0.12029316848235415,0.0,156.01583333333332,-57.749741666666665,0.72,6.58,3.611407740222226e-15,0.4967545885436028,0.999,0.891,19.910635,15.551,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102401.9-574445,0.0015763052208835,0.0089959839357429,0.1203915662650602,0.082008032128514,0.0553413654618474,0.7126104417670682,0.0042325848693907,0.0125932096218015,0.0507327938419685,0.0457827943339865,0.0425728336686184,0.0798517020671489,0.0190763052208835,0.019864991025891707,YSO,0.7126104417670682,0.0798517020671489,1.0,156.00829166666665,-57.74605,0.73,6.51,3.502517008119328e-15,0.749041850907362,1.0,0.901,17.435915,13.751,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102400.4-574437,0.000793172690763,0.0475903614457831,0.2478413654618473,0.0555622489959839,0.0710341365461847,0.516495983935743,0.0029182140842482,0.0345512054269043,0.0972199440616984,0.0356389649072549,0.0468981023001379,0.1189758262002661,0.060682730923694694,0.04790577386140374,YSO,0.516495983935743,0.1189758262002661,0.0,156.00187499999998,-57.743769444444446,0.73,6.24,5.814401285929008e-15,0.585620937577678,0.719,0.414,16.421633,13.426,,6,,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
2CXO J102402.4-574521,0.030774765729585,0.0157680722891566,0.0021736947791164,6.024096385542168e-05,0.037324297188755,0.0466817269076305,0.0374034312181503,0.0296349214194415,0.0080929866531493,0.0007741979426741,0.0519788732885753,0.0374139966208563,0.8672172021419008,0.262267248370451,NS+LMXB,0.8672172021419008,0.262267248370451,1.0,156.0103333333333,-57.75585555555556,0.76,8.47,2.7209425576144388e-15,0.5015898766076826,1.0,0.998,,,,0,conf,284.193115,-0.399714,9.980219999999994,extent,J1023-575,
